,name,url,loca,entre,fund,fround,status,year,CEO,amount,date
19,Clickatell,http://www.clickatell.com,Endeavor South Africa ,          Pieter de Villiers ,Fund IV,Series C,Active,2022,          Pieter de Villiers ,91M, 22-02-22
42,Gupy,http://www.gupy.com.br,Endeavor Brazil ,"          Mariana Dias ,           Robson Rodrigues ,           Bruna Guimarães ,           Guilherme Dias ",Fund III,Series B,Active,2022,          Mariana Dias ,93M, 31-01-22
77,Paack,https://paack.co/,Endeavor Spain ,"          Fernando Benito ,           Xavier Rosales ",Fund III,Series D+,Active,2022,          Fernando Benito ,225M, 26-01-22
79,Payhawk,https://payhawk.com/,Endeavor Bulgaria ,          Hristo Borisov ,Fund IV,Series B,Active,2022,          Hristo Borisov ,100M, 01-03-22
100,Tyme,https://www.tymebank.co.za/,Endeavor South Africa ,"          Coen Jonker ,           Nathaniel Clarke ,           Tjaart van der Walt ,           Tauriq Keraan ",Fund III,Series B,Active,2022,          Coen Jonker ,-, 01-01-22
105,Wayflyer,https://www.wayflyer.com,Endeavor Ireland ,          Aidan Corbett ,Fund III,Series B,Active,2022,          Aidan Corbett ,150M, 01-02-22
124,Apollo Agriculture,http://www.apolloagriculture.com/,Endeavor Kenya ,"          Eli Pollak ,           Benjamin Njenga ",Fund IV,Series A,Active,2022,          Eli Pollak ,40M, 21-03-22
163,Inspectorio,https://www.inspectorio.com,Endeavor Ecuador ,"          Fernando Moncayo ,            Carlos Moncayo ",Fund IV,Series B,Active,2022,          Fernando Moncayo ,48.2M, 31-01-22
239,Zippedi Inc.,http://www.zippedi.com/,Endeavor Chile ,          Luis Vera ,Fund III,Series A,Active,2022,          Luis Vera ,12.5M, 28-04-22
