,name,url,loca,entre,fund,fround,status,year,CEO
19,Clickatell,http://www.clickatell.com,Endeavor South Africa ,          Pieter de Villiers ,Fund IV,Series C,Active,2022,          Pieter de Villiers 
42,Gupy,http://www.gupy.com.br,Endeavor Brazil ,"          Mariana Dias ,           Robson Rodrigues ,           Bruna Guimarães ,           Guilherme Dias ",Fund III,Series B,Active,2022,          Mariana Dias 
77,Paack,https://paack.co/,Endeavor Spain ,"          Fernando Benito ,           Xavier Rosales ",Fund III,Series D+,Active,2022,          Fernando Benito 
79,Payhawk,https://payhawk.com/,Endeavor Bulgaria ,          Hristo Borisov ,Fund IV,Series B,Active,2022,          Hristo Borisov 
100,Tyme,https://www.tymebank.co.za/,Endeavor South Africa ,"          Coen Jonker ,           Nathaniel Clarke ,           Tjaart van der Walt ,           Tauriq Keraan ",Fund III,Series B,Active,2022,          Coen Jonker 
105,Wayflyer,https://www.wayflyer.com,Endeavor Ireland ,          Aidan Corbett ,Fund III,Series B,Active,2022,          Aidan Corbett 
124,Apollo Agriculture,http://www.apolloagriculture.com/,Endeavor Kenya ,"          Eli Pollak ,           Benjamin Njenga ",Fund IV,Series A,Active,2022,          Eli Pollak 
163,Inspectorio,https://www.inspectorio.com,Endeavor Ecuador ,"          Fernando Moncayo ,            Carlos Moncayo ",Fund IV,Series B,Active,2022,          Fernando Moncayo 
239,Zippedi Inc.,http://www.zippedi.com/,Endeavor Chile ,          Luis Vera ,Fund III,Series A,Active,2022,          Luis Vera 
